Sample ID,Source Plate Name,Source Well,Transfer Volume,Destination Plate Name,Destination Well,Source Plate Type
g1 - 2.00nM-rep x 0.00nM guide plasmid x 500.00nM guide sgRNA  (0),srcPlate1,A07,833.333333333,dstPlate1,A01,384PP_AQ_BP2
g1 - 2.00nM-rep x 0.00nM guide plasmid x 500.00nM guide sgRNA  (1),srcPlate1,A07,833.333333333,dstPlate1,A02,384PP_AQ_BP2
g1 - 2.00nM-rep x 0.00nM guide plasmid x 500.00nM guide sgRNA  (2),srcPlate1,A07,833.333333333,dstPlate1,A03,384PP_AQ_BP2
g1 - 2.00nM-rep x 0.00nM guide plasmid x 1000.00nM guide sgRNA  (0),srcPlate1,A07,833.333333333,dstPlate1,A04,384PP_AQ_BP2
g1 - 2.00nM-rep x 0.00nM guide plasmid x 1000.00nM guide sgRNA  (1),srcPlate1,A07,833.333333333,dstPlate1,A05,384PP_AQ_BP2
g1 - 2.00nM-rep x 0.00nM guide plasmid x 1000.00nM guide sgRNA  (2),srcPlate1,A07,833.333333333,dstPlate1,A06,384PP_AQ_BP2
g1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,A07,833.333333333,dstPlate1,A07,384PP_AQ_BP2
g1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,A07,833.333333333,dstPlate1,A08,384PP_AQ_BP2
g1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (2),srcPlate1,A07,833.333333333,dstPlate1,A09,384PP_AQ_BP2
g1 - 2.00nM-rep x 1.00nM guide plasmid x 0.00nM guide sgRNA  (0),srcPlate1,A07,833.333333333,dstPlate1,A10,384PP_AQ_BP2
g1 - 2.00nM-rep x 1.00nM guide plasmid x 0.00nM guide sgRNA  (1),srcPlate1,A07,833.333333333,dstPlate1,A11,384PP_AQ_BP2
g1 - 2.00nM-rep x 1.00nM guide plasmid x 0.00nM guide sgRNA  (2),srcPlate1,A07,833.333333333,dstPlate1,A12,384PP_AQ_BP2
g2 - 2.00nM-rep x 0.00nM guide plasmid x 500.00nM guide sgRNA  (0),srcPlate1,A07,833.333333333,dstPlate1,B01,384PP_AQ_BP2
g2 - 2.00nM-rep x 0.00nM guide plasmid x 500.00nM guide sgRNA  (1),srcPlate1,A07,833.333333333,dstPlate1,B02,384PP_AQ_BP2
g2 - 2.00nM-rep x 0.00nM guide plasmid x 500.00nM guide sgRNA  (2),srcPlate1,A07,833.333333333,dstPlate1,B03,384PP_AQ_BP2
g2 - 2.00nM-rep x 0.00nM guide plasmid x 1000.00nM guide sgRNA  (0),srcPlate1,A07,833.333333333,dstPlate1,B04,384PP_AQ_BP2
g2 - 2.00nM-rep x 0.00nM guide plasmid x 1000.00nM guide sgRNA  (1),srcPlate1,A07,833.333333333,dstPlate1,B05,384PP_AQ_BP2
g2 - 2.00nM-rep x 0.00nM guide plasmid x 1000.00nM guide sgRNA  (2),srcPlate1,A07,833.333333333,dstPlate1,B06,384PP_AQ_BP2
g2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,A07,833.333333333,dstPlate1,B07,384PP_AQ_BP2
g2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,A07,833.333333333,dstPlate1,B08,384PP_AQ_BP2
g2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (2),srcPlate1,A07,833.333333333,dstPlate1,B09,384PP_AQ_BP2
g2 - 2.00nM-rep x 1.00nM guide plasmid x 0.00nM guide sgRNA  (0),srcPlate1,A07,833.333333333,dstPlate1,B10,384PP_AQ_BP2
g2 - 2.00nM-rep x 1.00nM guide plasmid x 0.00nM guide sgRNA  (1),srcPlate1,A07,833.333333333,dstPlate1,B11,384PP_AQ_BP2
g2 - 2.00nM-rep x 1.00nM guide plasmid x 0.00nM guide sgRNA  (2),srcPlate1,A07,833.333333333,dstPlate1,B12,384PP_AQ_BP2
nt - 2.00nM-rep x 0.00nM guide plasmid x 500.00nM guide sgRNA  (0),srcPlate1,A07,833.333333333,dstPlate1,C01,384PP_AQ_BP2
nt - 2.00nM-rep x 0.00nM guide plasmid x 500.00nM guide sgRNA  (1),srcPlate1,A07,833.333333333,dstPlate1,C02,384PP_AQ_BP2
nt - 2.00nM-rep x 0.00nM guide plasmid x 500.00nM guide sgRNA  (2),srcPlate1,A07,833.333333333,dstPlate1,C03,384PP_AQ_BP2
