Sample ID,Source Plate Name,Source Well,Transfer Volume,Destination Plate Name,Destination Well,Source Plate Type
T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B01,3000.0,dstPlate1,D07,384PP_AQ_CP
T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B01,3000.0,dstPlate1,D08,384PP_AQ_CP
UTR_T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B01,3000.0,dstPlate1,D09,384PP_AQ_CP
UTR_T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B01,3000.0,dstPlate1,D10,384PP_AQ_CP
ORF_T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B01,3000.0,dstPlate1,D11,384PP_AQ_CP
ORF_T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B01,3000.0,dstPlate1,D12,384PP_AQ_CP
ORF_NT1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B01,3000.0,dstPlate1,E01,384PP_AQ_CP
ORF_NT1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B01,3000.0,dstPlate1,E02,384PP_AQ_CP
ORF_NT2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B01,3000.0,dstPlate1,E03,384PP_AQ_CP
ORF_NT2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B01,3000.0,dstPlate1,E04,384PP_AQ_CP
T2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B01,3000.0,dstPlate1,E05,384PP_AQ_CP
T2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B01,3000.0,dstPlate1,E06,384PP_AQ_CP
NT1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B01,3000.0,dstPlate1,E07,384PP_AQ_CP
NT1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B01,3000.0,dstPlate1,E08,384PP_AQ_CP
NT2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B01,3000.0,dstPlate1,E09,384PP_AQ_CP
NT2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B01,3000.0,dstPlate1,E10,384PP_AQ_CP
NT3 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B22,3000.0,dstPlate1,E11,384PP_AQ_CP
