chi_source,chi_source_name,chi_ul,guide,h20_source,h20_source_name,h20_ul,index,index_str,master_source,master_source_name,master_ul,name,nuclease_source,nuclease_source_name,nuclease_ul,reporter_source,reporter_source_name,reporter_ul,rna_source,rna_source_name,rna_ul,sgrna_source,sgrna_source_name,sgrna_ul
B02,chi 0 B02,4.16666666667e-07,T1,B03,h20 0 B03,5e-07,42,D07,B01,master 0 B01,3e-06,T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,B05,T1 rna 0 B05,0.0,B06,T1 sgrna 0 B06,2e-07
B02,chi 0 B02,4.16666666667e-07,T1,B03,h20 0 B03,5e-07,43,D08,B01,master 0 B01,3e-06,T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,B05,T1 rna 0 B05,0.0,B06,T1 sgrna 0 B06,2e-07
B02,chi 0 B02,4.16666666667e-07,UTR_T1,B03,h20 0 B03,5e-07,44,D09,B01,master 0 B01,3e-06,UTR_T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,B08,UTR_T1 rna 0 B08,0.0,B09,UTR_T1 sgrna 0 B09,2e-07
B02,chi 0 B02,4.16666666667e-07,UTR_T1,B03,h20 0 B03,5e-07,45,D10,B01,master 0 B01,3e-06,UTR_T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,B08,UTR_T1 rna 0 B08,0.0,B09,UTR_T1 sgrna 0 B09,2e-07
B02,chi 0 B02,4.16666666667e-07,ORF_T1,B03,h20 0 B03,5e-07,46,D11,B01,master 0 B01,3e-06,ORF_T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,B10,ORF_T1 rna 0 B10,0.0,B11,ORF_T1 sgrna 0 B11,2e-07
B02,chi 0 B02,4.16666666667e-07,ORF_T1,B03,h20 0 B03,5e-07,47,D12,B01,master 0 B01,3e-06,ORF_T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,B10,ORF_T1 rna 0 B10,0.0,B11,ORF_T1 sgrna 0 B11,2e-07
B02,chi 0 B02,4.16666666667e-07,ORF_NT1,B03,h20 0 B03,5e-07,48,E01,B01,master 0 B01,3e-06,ORF_NT1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,B12,ORF_NT1 rna 0 B12,0.0,B13,ORF_NT1 sgrna 0 B13,2e-07
B02,chi 0 B02,4.16666666667e-07,ORF_NT1,B03,h20 0 B03,5e-07,49,E02,B01,master 0 B01,3e-06,ORF_NT1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,B12,ORF_NT1 rna 0 B12,0.0,B13,ORF_NT1 sgrna 0 B13,2e-07
B02,chi 0 B02,4.16666666667e-07,ORF_NT2,B03,h20 0 B03,5e-07,50,E03,B01,master 0 B01,3e-06,ORF_NT2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,B14,ORF_NT2 rna 0 B14,0.0,B15,ORF_NT2 sgrna 0 B15,2e-07
B02,chi 0 B02,4.16666666667e-07,ORF_NT2,B03,h20 0 B03,5e-07,51,E04,B01,master 0 B01,3e-06,ORF_NT2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,B14,ORF_NT2 rna 0 B14,0.0,B15,ORF_NT2 sgrna 0 B15,2e-07
B02,chi 0 B02,4.16666666667e-07,T2,B03,h20 0 B03,5e-07,52,E05,B01,master 0 B01,3e-06,T2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,B16,T2 rna 0 B16,0.0,B17,T2 sgrna 0 B17,2e-07
B02,chi 0 B02,4.16666666667e-07,T2,B03,h20 0 B03,5e-07,53,E06,B01,master 0 B01,3e-06,T2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,B16,T2 rna 0 B16,0.0,B17,T2 sgrna 0 B17,2e-07
B02,chi 0 B02,4.16666666667e-07,NT1,B03,h20 0 B03,5e-07,54,E07,B01,master 0 B01,3e-06,NT1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,B18,NT1 rna 0 B18,0.0,B19,NT1 sgrna 0 B19,2e-07
B02,chi 0 B02,4.16666666667e-07,NT1,B03,h20 0 B03,5e-07,55,E08,B01,master 0 B01,3e-06,NT1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,B18,NT1 rna 0 B18,0.0,B19,NT1 sgrna 0 B19,2e-07
B02,chi 0 B02,4.16666666667e-07,NT2,B03,h20 0 B03,5e-07,56,E09,B01,master 0 B01,3e-06,NT2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,B20,NT2 rna 0 B20,0.0,B21,NT2 sgrna 0 B21,2e-07
B02,chi 0 B02,4.16666666667e-07,NT2,B03,h20 0 B03,5e-07,57,E10,B01,master 0 B01,3e-06,NT2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,B20,NT2 rna 0 B20,0.0,B21,NT2 sgrna 0 B21,2e-07
B02,chi 0 B02,4.16666666667e-07,NT3,B03,h20 0 B03,5e-07,58,E11,B22,master 0 B22,3e-06,NT3 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,B23,NT3 rna 0 B23,0.0,B24,NT3 sgrna 0 B24,2e-07
B02,chi 0 B02,4.16666666667e-07,NT3,B03,h20 0 B03,5e-07,59,E12,B22,master 1 B22,3e-06,NT3 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),B04,nuclease 0 B04,5e-08,B07,reporter 0 B07,8.33333333333e-07,B23,NT3 rna 0 B23,0.0,B24,NT3 sgrna 0 B24,2e-07
