active_volume_ul,reagent,volume,volume_plus,volume_ul,well
0.0,T1-rs0 rna,0.0,1.5e-05,15.0,C05
0.4,gen1 sgrna,4e-07,1.54e-05,15.4,C14
0.4,T1-rs1 sgrna,4e-07,1.54e-05,15.4,C08
0.4,gen9 sgrna,4e-07,1.54e-05,15.4,D07
0.4,gen7 sgrna,4e-07,1.54e-05,15.4,D03
0.0,NT3 rna,0.0,1.5e-05,15.0,B23
0.0,NT1-rs0 rna,0.0,1.5e-05,15.0,C09
0.4,NT2-rs1 sgrna,4e-07,1.54e-05,15.4,C12
0.0,gen7 rna,0.0,1.5e-05,15.0,D02
0.4,NAG-T1 sgrna,4e-07,1.54e-05,15.4,C02
0.0,NT2-rs1 rna,0.0,1.5e-05,15.0,C11
0.0,NAG-NT1 rna,0.0,1.5e-05,15.0,C03
0.0,gen8 rna,0.0,1.5e-05,15.0,D04
0.4,gen6 sgrna,4e-07,1.54e-05,15.4,D01
2.5,nuclease,2.5e-06,1.75e-05,17.5,B04
0.4,gen8 sgrna,4e-07,1.54e-05,15.4,D05
20.8333333333,chi,2.08333333333e-05,3.58333333333e-05,35.8333333333,B02
0.4,ORF_NT1 sgrna,4e-07,1.54e-05,15.4,B13
0.4,NAG-NT1 sgrna,4e-07,1.54e-05,15.4,C04
25.0,h20,2.5e-05,4e-05,40.0,B03
0.0,ORF_NT1 rna,0.0,1.5e-05,15.0,B12
0.4,NT2 sgrna,4e-07,1.54e-05,15.4,B21
48.0,master,4.8e-05,6.3e-05,63.0,B01
48.0,master,4.8e-05,6.3e-05,63.0,B22
48.0,master,4.8e-05,6.3e-05,63.0,C15
6.0,master,6e-06,2.1e-05,21.0,D08
0.0,T1 rna,0.0,1.5e-05,15.0,B05
0.0,gen3 rna,0.0,1.5e-05,15.0,C18
0.0,UTR_T1 rna,0.0,1.5e-05,15.0,B08
0.0,ORF_T1 rna,0.0,1.5e-05,15.0,B10
0.4,T1-rs0 sgrna,4e-07,1.54e-05,15.4,C06
0.4,NT3 sgrna,4e-07,1.54e-05,15.4,B24
0.4,gen4 sgrna,4e-07,1.54e-05,15.4,C21
0.4,NT1-rs0 sgrna,4e-07,1.54e-05,15.4,C10
0.0,NT2 rna,0.0,1.5e-05,15.0,B20
41.6666666667,reporter,4.16666666667e-05,5.66666666667e-05,56.6666666667,B07
0.4,ORF_NT2 sgrna,4e-07,1.54e-05,15.4,B15
0.0,NAG-T1 rna,0.0,1.5e-05,15.0,C01
0.0,gen4 rna,0.0,1.5e-05,15.0,C20
0.4,ORF_T1 sgrna,4e-07,1.54e-05,15.4,B11
0.0,NT1 rna,0.0,1.5e-05,15.0,B18
0.0,gen9 rna,0.0,1.5e-05,15.0,D06
0.0,ORF_NT2 rna,0.0,1.5e-05,15.0,B14
0.0,T2 rna,0.0,1.5e-05,15.0,B16
0.4,gen3 sgrna,4e-07,1.54e-05,15.4,C19
0.4,gen5 sgrna,4e-07,1.54e-05,15.4,C23
0.0,gen10 rna,0.0,1.5e-05,15.0,D09
0.4,T2 sgrna,4e-07,1.54e-05,15.4,B17
0.4,UTR_T1 sgrna,4e-07,1.54e-05,15.4,B09
0.4,gen10 sgrna,4e-07,1.54e-05,15.4,D10
0.4,gen2 sgrna,4e-07,1.54e-05,15.4,C17
0.4,NT1 sgrna,4e-07,1.54e-05,15.4,B19
0.0,gen6 rna,0.0,1.5e-05,15.0,C24
0.0,gen2 rna,0.0,1.5e-05,15.0,C16
0.0,gen5 rna,0.0,1.5e-05,15.0,C22
0.0,T1-rs1 rna,0.0,1.5e-05,15.0,C07
0.0,gen1 rna,0.0,1.5e-05,15.0,C13
0.4,T1 sgrna,4e-07,1.54e-05,15.4,B06
